序号,功能模块*,用例名称*,用例编号,维护人,用例类型,优先级,前置条件,备注,步骤描述,预期结果,版本号,最新版本评审结果
18,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-HarmonyOS Next(点对点连接),CJIMF,曹Sir,功能测试,P0,"Sink端设备与HarmonyOS Next设备通过点对点方式连接成功,Sink端设备已在HarmonyOS Next设备的可用设备列表中被发现",,在HarmonyOS Next手机的可用设备列表中选择Sink端设备，等待连接建立，在HarmonyOS Next手机设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示HarmonyOS Next手机设备的屏幕内容,"",版本 1,待评审
19,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony手机(点对点连接),CJIMG,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony手机设备通过点对点方式连接成功,Sink端设备已在HarmonyOS Next设备的可用设备列表中被发现",,在OpenHarmony手机设备的可用设备列表中选择Sink端设备，等待连接建立，OpenHarmony手机设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示OpenHarmony手机设备的屏幕内容,"",版本 1,待评审
20,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,源设备搜索大屏设备功能-OpenHarmony手机,CJIM8,曹Sir,功能测试,P0,Sink端设备已启动预置的投屏应用,,在Sink端设备上开启投屏功能，OpenHarmony手机设备刷新可用设备列表，查找Sink端设备名称,Sink端设备名称出现在OpenHarmony手机的可用设备列表中,版本 1,待评审
21,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony PC(同一WiFi连接),CJIM9,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony PC设备连接至同一WiFi下,Sink端设备已在OpenHarmony PC设备的可用设备列表中被发现",,在OpenHarmony PC设备的可用设备列表中选择Sink端设备，等待连接建立，在OpenHarmony PC设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示OpenHarmony PC设备的屏幕内容,Sink端设备成功连接OpenHarmony PC设备，内容显示清晰无延迟,版本 1,待评审
22,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony 平板(同一WiFi连接),CJIMA,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony 平板设备连接至同一WiFi下,Sink端设备已在OpenHarmony 平板设备的可用设备列表中被发现",,在OpenHarmony平板设备的可用设备列表中选择Sink端设备，等待连接建立，在OpenHarmony 平板设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示在OpenHarmony平板设备的屏幕内容,Sink端设备成功连接OpenHarmony平板设备，内容显示清晰无延迟,版本 1,待评审
23,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-HarmonyOS Next(同一WiFi连接),CJIMB,曹Sir,功能测试,P0,"Sink端设备与HarmonyOS Next设备连接至同一WiFi下,Sink端设备已在HarmonyOS Next设备的可用设备列表中被发现",,在HarmonyOS Next手机的可用设备列表中选择Sink端设备，等待连接建立，在HarmonyOS Next手机设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示HarmonyOS Next手机设备的屏幕内容,Sink端设备成功连接HarmonyOS Next手机设备，内容显示清晰无延迟,版本 1,待评审
24,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony手机(同一WiFi连接),CJIMC,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony手机设备连接至同一WiFi下,Sink端设备已在HarmonyOS Next设备的可用设备列表中被发现",,在OpenHarmony手机设备的可用设备列表中选择Sink端设备，等待连接建立，OpenHarmony手机设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示OpenHarmony手机设备的屏幕内容,Sink端设备成功连接OpenHarmony手机设备，内容显示清晰无延迟,版本 1,待评审
25,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,建立连接并投屏-OpenHarmony PC(点对点连接),CJIMD,曹Sir,功能测试,P0,"Sink端设备与OpenHarmony PC设备通过点对点方式连接成功,Sink端设备已在OpenHarmony PC设备的可用设备列表中被发现",,在OpenHarmony PC设备的可用设备列表中选择Sink端设备，等待连接建立，在OpenHarmony PC设备上播放一段视频或打开一个应用，观察Sink端设备是否同步显示OpenHarmony PC设备的屏幕内容,"",版本 1,待评审
26,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,源设备搜索大屏设备功能-HarmonyOS Next,CJIM7,曹Sir,功能测试,P0,Sink端设备已启动预置的投屏应用,,在Sink端设备上开启投屏功能，HarmonyOS Next手机设备刷新可用设备列表，查找Sink端设备名称,Sink端设备名称出现在HarmonyOS Next手机的可用设备列表中,版本 1,待评审
27,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,通过Miracast投屏应用图标开启投屏服务-OpenHarmony PC,CJIM1,曹Sir,功能测试,P0,Sink端设备已开启,,在TV主界面上找到并点击Miracast投屏应用图标,Miracast投屏服务开启，OpenHarmony PC设备可以发现Sink端设备,版本 1,待评审
28,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,通过Miracast投屏应用图标开启投屏服务-OpenHarmony 平板,CJIM2,曹Sir,功能测试,P0,Sink端设备已开启,,在TV主界面上找到并点击Miracast投屏应用图标,Miracast投屏服务开启，OpenHarmony 平板可以发现Sink端设备,版本 1,待评审
29,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,通过Miracast投屏应用图标开启投屏服务-HarmonyOS Next 手机,CJIM3,曹Sir,功能测试,P0,Sink端设备已开启,,在TV主界面上找到并点击Miracast投屏应用图标,Miracast投屏服务开启，HarmonyOS Next 手机可以发现Sink端设备,版本 1,待评审
30,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,通过Miracast投屏应用图标开启投屏服务-OpenHarmony手机,CJIM4,曹Sir,功能测试,P0,Sink端设备已开启,,在TV主界面上找到并点击Miracast投屏应用图标,Miracast投屏服务开启，OpenHarmony手机可以发现Sink端设备,版本 1,待评审
31,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,源设备搜索大屏设备功能-OpenHarmony PC,CJIM5,曹Sir,功能测试,P0,Sink端设备已启动预置的投屏应用,,在Sink端设备上开启投屏功能，OpenHarmony PC设备刷新可用设备列表，查找Sink端设备名称,Sink端设备名称出现在OpenHarmony PC的可用设备列表中,版本 1,待评审
32,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,源设备搜索大屏设备功能-OpenHarmony平板,CJIM6,曹Sir,功能测试,P0,Sink端设备已启动预置的投屏应用,,在Sink端设备上开启投屏功能，OpenHarmony平板设备刷新可用设备列表，查找Sink端设备名称,Sink端设备名称出现在OpenHarmony平板的可用设备列表中,版本 1,待评审
33,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏开启功能验证-OpenHarmony 平板,CJILV,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中开启投屏开关,开关开启后，OpenHarmony 平板设备可以发现Sink端设备，并显示设备名称,版本 1,待评审
34,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏关闭功能验证-OpenHarmony 平板,CJILW,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中关闭投屏开关,开关关闭后，OpenHarmony 平板设备无法发现Sink端设备,版本 1,待评审
35,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏开启功能验证-HarmonyOS Next 手机,CJILX,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中开启投屏开关,开关开启后，HarmonyOS Next 手机设备可以发现Sink端设备，并显示设备名称,版本 1,待评审
36,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏关闭功能验证-HarmonyOS Next 手机,CJILY,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中关闭投屏开关,开关关闭后，HarmonyOS Next 手机设备无法发现Sink端设备,版本 1,待评审
37,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏开启功能验证-OpenHarmony手机,CJILZ,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中开启投屏开关,开关开启后，OpenHarmony手机设备可以发现Sink端设备，并显示设备名称,版本 1,待评审
38,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏关闭功能验证-OpenHarmony手机,CJIM0,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中关闭投屏开关,开关关闭后，OpenHarmony手机设备无法发现Sink端设备,版本 1,待评审
39,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,首次打开投屏服务-投屏开关,CJILR,曹Sir,功能测试,P0,Sink端设备已开启，投屏服务从未开启过,,进入TV设备的设置界面，打开投屏开关,投屏服务应成功开启，TV屏幕上应显示投屏服务已开启的提示信息,版本 1,待评审
40,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,首次打开投屏服务-Miracast投屏应用图标,CJILS,曹Sir,功能测试,P0,Sink端设备已开启，投屏服务从未开启过,,TV主界面上找到并点击Miracast投屏应用图标,投屏服务应成功开启，TV屏幕上应显示投屏服务已开启的提示信息,版本 1,待评审
41,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏开启功能验证-OpenHarmony PC,CJILT,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中开启投屏开关,开关开启后，OpenHarmony PC设备可以发现Sink端设备，并显示设备名称,版本 1,待评审
42,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,投屏关闭功能验证-OpenHarmony PC,CJILU,曹Sir,功能测试,P0,Sink端设备已开启,,在Sink端设备的设置菜单中关闭投屏开关,开关关闭后，OpenHarmony PC设备无法发现Sink端设备,版本 1,待评审
43,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-投屏游戏应用,CJIO7,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备上启动一款游戏应用,游戏画面在大屏上清晰显示，触控操作同步,版本 1,待评审
44,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-投屏网页浏览器应用,CJIO8,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备上启动一款网页浏览器应用,浏览器页面在大屏上清晰显示，滚动、切换流畅,版本 1,待评审
45,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-屏幕旋转适应性,CJIO9,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在设备上旋转屏幕,屏幕内容随设备旋转而自动调整方向,版本 1,待评审
46,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频暂停与播放,CJIO0,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，点击暂停按键后再点击播放按键,大屏端视频播放与暂停状态随着手机端的切换而切换,版本 1,待评审
47,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频播放进度,CJIO1,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，通过拖动进度条调整其播放进度,大屏端视频播放进度随着手机端的调整而切换,版本 1,待评审
48,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-上一个、下一个视频播放,CJIO2,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，通过点击上一个、下一个按键切换播放视频,大屏端播放的视频内容随着手机端切换,版本 1,待评审
49,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-图片,CJIO3,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备上打开一个图片文件,图片内容正确显示，无乱码、无裁剪,版本 1,待评审
50,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-图片切换,CJIO4,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备上切换投屏的图片,大屏端图片随着手机端的切换而切换,版本 1,待评审
51,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-文本文件,CJIO5,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备播放文本文件（文档查看）,文本文件正确显示，无乱码,版本 1,待评审
52,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-演示文稿（使用Office等应用）,CJIO6,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备播放演示文稿（使用Office等应用）,演示文稿内容正确显示，无乱码,版本 1,待评审
53,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,查看已鉴权设备信息-设备添加时间,CJINT,曹Sir,功能测试,P1,至少有一个设备已被Sink端标记为“始终信任”,,在Sink端设备上进入投屏设置界面，查看已鉴权设备，点击设备详情,在设备信息界面可以查看到设备添加为信任设备的时间,版本 1,待评审
54,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,修改已鉴权设备的状态,CJINU,曹Sir,功能测试,P1,至少有一个设备已被Sink端标记为“始终信任”,,在Sink端设备上进入投屏设置界面，删除标记为始终信任的设备,设备从已鉴权设备列表中移除，再次连接时弹出鉴权提示,版本 1,待评审
55,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频,CJINV,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接,,在Source端设备上播放一个视频文件,视频流畅播放，无断联或延迟现象,版本 1,待评审
56,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频分辨率调整,CJINW,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，切换其分辨率,大屏端视频分辨率跟随手机端进行改变,版本 1,待评审
57,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频亮度调整,CJINX,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，调整其亮度,大屏端视频亮度随着手机端进行切换,版本 1,待评审
58,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频倍速调整,CJINY,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，调整其播放速度,大屏端视频随播放速度着手机端进行切换,版本 1,待评审
59,【SF】【投屏分享】/【IR】【镜像投屏】目的端/投屏内容显示,基本投屏内容显示-视频声音调整,CJINZ,曹Sir,功能测试,P1,Source设备与Sink端设备已成功连接，正在投播视频,,在Source端设备上播放视频，调整其播放声音,大屏端视频随播放声音着手机端进行切换,版本 1,待评审
60,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择仅限本次后再次连接-OpenHarmony,CJINN,曹Sir,功能测试,P1,OpenHarmony设备和Sink端设备首次连接选择仅限本次选项后断开连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
61,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择取消后再次连接-OpenHarmony,CJINP,曹Sir,功能测试,P1,OpenHarmony设备和Sink端设备首次连接选择取消选项,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
62,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,查看已鉴权设备列表,CJINQ,曹Sir,功能测试,P1,至少有一个设备已被Sink端标记为“始终信任”,,在Sink端设备上进入投屏设置界面，查看已鉴权设备,已鉴权设备列表中包含之前标记为“始终信任”的设备,版本 1,待评审
63,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,查看已鉴权设备信息-设备名称,CJINR,曹Sir,功能测试,P1,至少有一个设备已被Sink端标记为“始终信任”,,在Sink端设备上进入投屏设置界面，查看已鉴权设备，点击设备详情,在设备信息界面可以查看到设备名称,版本 1,待评审
64,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,查看已鉴权设备信息-设备类型,CJINS,曹Sir,功能测试,P1,至少有一个设备已被Sink端标记为“始终信任”,,在Sink端设备上进入投屏设置界面，查看已鉴权设备，点击设备详情,在设备信息界面可以查看到设备类型,版本 1,待评审
65,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择取消后再次连接-HarmonyOS Next,CJINI,曹Sir,功能测试,P1,HarmonyOS Next设备和Sink端设备首次连接选择取消选项,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
66,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证始终信任后再次连接-OpenHarmony,CJINL,曹Sir,功能测试,P1,OpenHarmony设备和Sink端设备首次连接选择始终信任选项后断开连接,,在OpenHarmony设备上启动投屏应用程序，并连接Sink端设备,连接成功，不弹出鉴权提示,版本 1,待评审
67,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择取消后再次连接-OpenHarmony 平板,CJINB,曹Sir,功能测试,P1,OpenHarmony 平板设备和Sink端设备首次连接选择取消选项,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
68,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证始终信任后再次连接-HarmonyOS Next,CJINE,曹Sir,功能测试,P1,HarmonyOS Next设备和Sink端设备首次连接选择始终信任选项后断开连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备,连接成功，不弹出鉴权提示,版本 1,待评审
69,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择仅限本次后再次连接-HarmonyOS Next,CJING,曹Sir,功能测试,P1,HarmonyOS Next设备和Sink端设备首次连接选择仅限本次选项后断开连接,,在HarmonyOS Next设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
70,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择取消后再次连接-OpenHarmony PC,CJIN4,曹Sir,功能测试,P1,OpenHarmony PC设备和Sink端设备首次连接选择取消选项,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
71,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证始终信任后再次连接-OpenHarmony 平板,CJIN7,曹Sir,功能测试,P1,OpenHarmony 平板设备和Sink端设备首次连接选择始终信任选项后断开连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备,连接成功，不弹出鉴权提示,版本 1,待评审
72,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择仅限本次后再次连接-OpenHarmony 平板,CJIN9,曹Sir,功能测试,P1,OpenHarmony 平板设备和Sink端设备首次连接选择仅限本次选项后断开连接,,在OpenHarmony 平板设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
73,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,Sink端名称长度限制验证-64字符,CJIMX,曹Sir,功能测试,P1,Sink端设备名称存在最大字符数限制,,尝试输入一个超过最大字符数限制的名称，点击保存按钮,应用程序或系统应阻止超出长度限制的名称保存，并给出错误提示或自动截断多余字符,版本 1,待评审
74,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证始终信任后再次连接-OpenHarmony PC,CJIN0,曹Sir,功能测试,P1,OpenHarmony PC设备和Sink端设备首次连接选择始终信任选项后断开连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备,连接成功，不弹出鉴权提示,版本 1,待评审
75,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持投屏鉴权,验证选择仅限本次后再次连接-OpenHarmony PC,CJIN2,曹Sir,功能测试,P1,OpenHarmony PC设备与Sink端未建立过连接,,在OpenHarmony PC设备上启动投屏应用程序，并连接Sink端设备,Sink端设备再次弹出鉴权提示,版本 1,待评审
